mal_id,title,title_english,title_japanese,genres,url,item_idx
50421,Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming,"A Herbivorous Dragon of 5,000 Years Gets Unfairly Villainized",食草老龙被冠以恶龙之名,"['Adventure', 'Comedy', 'Fantasy']",https://myanimelist.net/anime/50421/Shi_Cao_Lao_Long_Bei_Guan_Yi_E_Long_Zhi_Ming,8453.0
38830,"Hachi-nan tte, Sore wa Nai deshou!",The 8th Son? Are You Kidding Me?,八男って、それはないでしょう！,"['Action', 'Fantasy']",https://myanimelist.net/anime/38830/Hachi-nan_tte_Sore_wa_Nai_deshou,7219.0
1049,Cello Hiki no Gauche (1982),Gauche the Cellist,セロ弾きのゴーシュ,"['Award Winning', 'Drama', 'Fantasy']",https://myanimelist.net/anime/1049/Cello_Hiki_no_Gauche_1982,854.0
33981,Pretty x Cation 2 The Animation,,PRETTY×CATION 2 THE ANIMATION,['Hentai'],https://myanimelist.net/anime/33981/Pretty_x_Cation_2_The_Animation,6190.0
46971,Arifureta Shokugyou de Sekai Saikyou: Prologue,Arifureta: From Commonplace to World's Strongest - Prologue,ありふれた職業で世界最強 プロローグ,['Fantasy'],https://myanimelist.net/anime/46971/Arifureta_Shokugyou_de_Sekai_Saikyou__Prologue,8103.0
42798,Sayonara Watashi no Cramer Movie: First Touch,,映画 さよなら私のクラマー ファーストタッチ,"['Romance', 'Sports']",https://myanimelist.net/anime/42798/Sayonara_Watashi_no_Cramer_Movie__First_Touch,7912.0
8187,Fumiko no Kokuhaku,Fumiko's Confession,フミコの告白,"['Award Winning', 'Comedy']",https://myanimelist.net/anime/8187/Fumiko_no_Kokuhaku,3454.0
21031,Precure All Stars Movie New Stage 3: Eien no Tomodachi,,映画プリキュアオールスターズNew Stage3 永遠のともだち,[],https://myanimelist.net/anime/21031/Precure_All_Stars_Movie_New_Stage_3__Eien_no_Tomodachi,4879.0
3053,Ganbare! Kickers,Fight! Kickers,がんばれ！キッカーズ,['Sports'],https://myanimelist.net/anime/3053/Ganbare_Kickers,2200.0
7066,Mahoromatic: Tadaima Okaeri,Mahoromatic: I'm Home!,まほろまてぃっく ただいま◇おかえり,"['Comedy', 'Romance', 'Sci-Fi', 'Ecchi']",https://myanimelist.net/anime/7066/Mahoromatic__Tadaima_Okaeri,3301.0
2446,Nikuyome: Takayanagi Ke no Hitobito,,肉嫁 高柳家の人々,['Hentai'],https://myanimelist.net/anime/2446/Nikuyome__Takayanagi_Ke_no_Hitobito,1849.0
2970,Night Wizard,,ナイトウィザード,"['Action', 'Adventure', 'Fantasy']",https://myanimelist.net/anime/2970/Night_Wizard,2149.0
25939,Mahou Shoujo Lyrical Nanoha ViVid,,魔法少女リリカルなのはViVid,"['Action', 'Adventure']",https://myanimelist.net/anime/25939/Mahou_Shoujo_Lyrical_Nanoha_ViVid,5241.0
49759,Zhu Xian,Jade Dynasty,诛仙,"['Adventure', 'Fantasy']",https://myanimelist.net/anime/49759/Zhu_Xian,8348.0
1246,Yuugo: Koushounin,Yugo The Negotiator,勇午 ～交渉人～,"['Action', 'Drama', 'Mystery', 'Suspense']",https://myanimelist.net/anime/1246/Yuugo__Koushounin,1007.0
